编号,片段名,文本,语言,中文,label,音频路径,answer
52041,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_05_42,100_00_05_44,700_chinesetts.wav",
52042,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_05_45,900_00_05_46,980_chinesetts.wav",
52043,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_05_47,780_00_05_49,020_chinesetts.wav",
52044,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_05_49,580_00_05_51,220_chinesetts.wav",
52045,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_05_51,780_00_05_53,540_chinesetts.wav",
52046,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_05_54,500_00_05_56,740_chinesetts.wav",
52047,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_05_57,460_00_05_59,100_chinesetts.wav",
52048,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_05_59,100_00_06_01,020_chinesetts.wav",
52049,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_06_01,020_00_06_03,620_chinesetts.wav",
52050,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_06_04,020_00_06_05,500_chinesetts.wav",
52051,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_06_08,220_00_06_11,060_chinesetts.wav",
52052,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_06_12,420_00_06_14,540_chinesetts.wav",
52053,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_06_16,340_00_06_17,460_chinesetts.wav",
52054,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_06_19,140_00_06_20,540_chinesetts.wav",
52055,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_06_36,460_00_06_38,900_chinesetts.wav",
52056,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_06_41,420_00_06_43,540_chinesetts.wav",
52057,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_06_44,060_00_06_47,220_chinesetts.wav",
52058,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_06_48,660_00_06_53,220_chinesetts.wav",
52059,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_06_53,980_00_06_54,980_chinesetts.wav",
52060,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_06_55,180_00_06_56,220_chinesetts.wav",
52061,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_06_56,780_00_06_57,740_chinesetts.wav",
52062,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_06_59,460_00_07_00,820_chinesetts.wav",
52063,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_07_01,380_00_07_03,220_chinesetts.wav",
52064,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_07_06,180_00_07_07,580_chinesetts.wav",
52065,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_07_11,540_00_07_12,780_chinesetts.wav",
52066,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_07_18,220_00_07_19,740_chinesetts.wav",
52067,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_07_20,580_00_07_22,740_chinesetts.wav",
52068,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_07_24,580_00_07_25,500_chinesetts.wav",
52069,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_07_25,500_00_07_27,060_chinesetts.wav",
52070,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_07_27,340_00_07_27,860_chinesetts.wav",
52071,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_07_29,540_00_07_31,660_chinesetts.wav",
52072,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_07_34,060_00_07_37,660_chinesetts.wav",
52073,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_07_38,180_00_07_40,580_chinesetts.wav",
52074,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_07_42,260_00_07_43,860_chinesetts.wav",
52075,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_07_48,860_00_07_49,740_chinesetts.wav",
52076,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_07_53,900_00_07_55,460_chinesetts.wav",
52077,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_07_58,380_00_07_59,500_chinesetts.wav",
52078,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_07_59,500_00_08_00,620_chinesetts.wav",
52079,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_08_04,340_00_08_07,100_chinesetts.wav",
52080,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_08_07,620_00_08_09,940_chinesetts.wav",
52081,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_08_11,420_00_08_13,020_chinesetts.wav",
52082,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_08_13,580_00_08_14,980_chinesetts.wav",
52083,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_08_14,980_00_08_16,420_chinesetts.wav",
52084,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_08_18,100_00_08_19,220.wav",
52085,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_08_19,220_00_08_20,460_chinesetts.wav",
52086,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_08_28,780_00_08_32,300_chinesetts.wav",
52087,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_08_33,460_00_08_34,660_chinesetts.wav",
52088,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_08_36,620_00_08_42,220_chinesetts.wav",
52089,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_08_47,460_00_08_51,660_chinesetts.wav",
52090,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_08_53,820_00_08_57,420_chinesetts.wav",
52091,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_08_58,020_00_09_01,140_chinesetts.wav",
52092,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_09_01,420_00_09_03,700_chinesetts.wav",
52093,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_09_03,980_00_09_06,260_chinesetts.wav",
52094,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_09_06,460_00_09_08,020_chinesetts.wav",
52095,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_09_08,420_00_09_09,820_chinesetts.wav",
52096,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_09_10,380_00_09_12,380_chinesetts.wav",
52097,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_09_14,340_00_09_17,180_chinesetts.wav",
52098,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_09_18,100_00_09_19,260_chinesetts.wav",
52099,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_09_19,780_00_09_24,700_chinesetts.wav",
52100,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_09_24,780_00_09_27,900_chinesetts.wav",
52101,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_09_28,460_00_09_33,260_chinesetts.wav",
52102,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_09_37,620_00_09_38,900_chinesetts.wav",
52103,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_09_41,620_00_09_43,900_chinesetts.wav",
52104,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_09_56,540_00_09_58,020_chinesetts.wav",
52105,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_09_58,700_00_10_02,460_chinesetts.wav",
52106,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_10_13,300_00_10_15,180_chinesetts.wav",
52107,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_10_15,180_00_10_18,620_chinesetts.wav",
52108,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_10_20,900_00_10_22,220_chinesetts.wav",
52109,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_10_23,820_00_10_29,780_chinesetts.wav",
52110,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_10_31,140_00_10_35,820_chinesetts.wav",
52111,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_10_37,420_00_10_41,740_chinesetts.wav",
52112,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_10_42,100_00_10_44,580_chinesetts.wav",
52113,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_10_46,420_00_10_48,820_chinesetts.wav",
52114,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_10_51,020_00_10_56,900_chinesetts.wav",
52115,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_10_58,740_00_11_01,340_chinesetts.wav",
52116,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_11_02,460_00_11_03,980_chinesetts.wav",
52117,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_11_13,340_00_11_15,580_chinesetts.wav",
52118,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_11_17,060_00_11_21,220_chinesetts.wav",
52119,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_11_21,620_00_11_23,700_chinesetts.wav",
52120,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_11_25,900_00_11_30,020_chinesetts.wav",
52121,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_11_30,540_00_11_32,940_chinesetts.wav",
52122,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_11_33,180_00_11_34,260_chinesetts.wav",
52123,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_11_34,700_00_11_36,420_chinesetts.wav",
52124,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_11_36,420_00_11_39,540_chinesetts.wav",
52125,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_11_39,900_00_11_44,060_chinesetts.wav",
52126,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_11_44,540_00_11_46,980_chinesetts.wav",
52127,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_11_47,140_00_11_49,180_chinesetts.wav",
52128,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_11_50,100_00_11_54,580_chinesetts.wav",
52129,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_11_56,180_00_11_58,380_chinesetts.wav",
52130,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_11_58,980_00_12_01,700_chinesetts.wav",
52131,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_12_06,180_00_12_08,540_chinesetts.wav",
52132,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_12_09,660_00_12_11,260_chinesetts.wav",
52133,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_12_11,620_00_12_13,260_chinesetts.wav",
52134,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_12_13,780_00_12_15,580_chinesetts.wav",
52135,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_12_17,020_00_12_19,100_chinesetts.wav",
52136,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_12_21,620_00_12_24,300_chinesetts.wav",
52137,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_12_24,300_00_12_26,140_chinesetts.wav",
52138,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_12_30,340_00_12_31,060_chinesetts.wav",
52139,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_12_44,380_00_12_46,620_chinesetts.wav",
52140,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_12_47,420_00_12_49,020_chinesetts.wav",
52141,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_12_49,300_00_12_50,620_chinesetts.wav",
52142,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_12_56,100_00_12_57,580_chinesetts.wav",
52143,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_13_01,380_00_13_03,260_chinesetts.wav",
52144,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_13_04,140_00_13_05,180_chinesetts.wav",
52145,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_13_05,180_00_13_06,700_chinesetts.wav",
52146,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_13_07,020_00_13_09,020_chinesetts.wav",
52147,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_13_09,020_00_13_10,220_chinesetts.wav",
52148,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_13_11,860_00_13_12,740_chinesetts.wav",
52149,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_13_13,580_00_13_15,060_chinesetts.wav",
52150,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_13_17,580_00_13_18,660_chinesetts.wav",
52151,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_13_21,220_00_13_22,660_chinesetts.wav",
52152,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_13_22,660_00_13_24,100_chinesetts.wav",
52153,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_13_35,500_00_13_36,700_chinesetts.wav",
52154,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_13_37,660_00_13_39,580_chinesetts.wav",
52155,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_13_42,060_00_13_48,540_chinesetts.wav",
52156,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_13_59,300_00_14_00,580_chinesetts.wav",
52157,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_14_11,860_00_14_14,980_chinesetts.wav",
52158,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_14_18,900_00_14_20,500_chinesetts.wav",
52159,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_14_20,500_00_14_21,500_chinesetts.wav",
52160,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_14_22,700_00_14_25,220_chinesetts.wav",
52161,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_14_25,220_00_14_26,580_chinesetts.wav",
52162,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_14_28,300_00_14_29,500_chinesetts.wav",
52163,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_14_29,860_00_14_31,940_chinesetts.wav",
52164,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_14_32,540_00_14_33,900_chinesetts.wav",
52165,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_15_21,620_00_15_22,420_chinesetts.wav",
52166,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_15_31,740_00_15_33,420_chinesetts.wav",
52167,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_15_36,700_00_15_37,380_chinesetts.wav",
52168,电视剧1 EP10,,马来语,,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_15_37,380_00_15_38,380_chinesetts.wav",
